# apps/api/db/rls-cross-tenant-policies.txt
#
# Every RLS policy in this database that grants access ACROSS tenants, with the
# access mode it is meant to have recorded as a DECISION rather than left to a
# default nobody typed.
#
# Checked by scripts/check-rls-cross-tenant.sh against a live pg_policies.
# Regression suite: scripts/check-rls-cross-tenant_test.sh.
#
# ---------------------------------------------------------------------------
# WHY THIS FILE EXISTS (GH #470)
# ---------------------------------------------------------------------------
#
# `CREATE POLICY` defaults to `FOR ALL`. A policy that is correctly FOR ALL and
# one that is wrongly FOR SELECT are visually identical, because the clause the
# bug turns on is the one nobody writes. Under FORCE ROW LEVEL SECURITY a
# FOR SELECT policy admits the read and admits nothing to the write, so an
# UPDATE or DELETE on that path matches ZERO ROWS WITH NO ERROR. PostgreSQL
# applies the UPDATE policy to SELECT ... FOR UPDATE as well, so even the
# locking read comes back empty.
#
# Not a failure -- a silence. It has shipped three times:
#   m84/#96    backup_schedules   every backup schedule stopped advancing
#   m89/#131   update_tasks       the stale-task reaper swept nothing
#   m118/#463  update_runs        the deferred dispatcher claimed nothing
#
# Two of those post-mortems are written into db/schema.sql, next to the
# policies they are about.
#
# The other half of #470 is that the construct is NOT CONSISTENTLY NAMED, so an
# audit that greps a naming convention returns FALSE NEGATIVES -- the direction
# that costs a tenant boundary. Run the guard and read the NAMING section: it
# counts the variants against the live database rather than quoting a number
# here that would rot. One of the outliers is backup_schedules_scheduler, which
# IS the m84/#96 fix, so a name-based sweep misses the very policy the first
# post-mortem is about.
#
# The guard therefore never greps a name. It enumerates from pg_policies and
# classifies on the GUC each policy's expression tests.
#
# ---------------------------------------------------------------------------
# WHAT COUNTS AS CROSS-TENANT
# ---------------------------------------------------------------------------
#
# A PERMISSIVE policy whose USING expression does not bind tenant_id to
# app.tenant_id. That is a property of the expression, not of the name.
#
# RESTRICTIVE policies are excluded deliberately: a restrictive policy can only
# narrow the row set, never grant one. The site_scope policies are restrictive
# and do not mention app.tenant_id, so a classifier that ignored `permissive`
# would flag all of them as cross-tenant grants and bury the real signal.
#
# ---------------------------------------------------------------------------
# FORMAT
# ---------------------------------------------------------------------------
#
#   table|policy|guc|cmd|ops|rationale
#
# guc   The settings the policy's USING/WITH CHECK expressions read, sorted and
#       comma-joined. '-' when the expression reads none (USING (true)).
#       This is the field the audit is built on.
#
# cmd   The access mode the policy is MEANT to have: ALL, SELECT, INSERT,
#       UPDATE or DELETE. The guard fails if the database disagrees, in either
#       direction -- a policy that drifted, or a ledger edited without the
#       migration.
#
# ops   The operations the code path behind this policy actually performs,
#       comma-joined, from: select insert update delete lock
#
#       The guard fails when `cmd` does not cover `ops` -- that is the #96 bug,
#       written down in the file rather than waiting to be noticed. `lock`
#       means SELECT ... FOR UPDATE/SHARE and is covered only by ALL or UPDATE,
#       because PostgreSQL applies the UPDATE policy to a locking read.
#
#       '-' means the path was not audited operation by operation. It is ONLY
#       legal on a FOR ALL policy, where every verb is admitted and the
#       silence cannot arise. The guard rejects '-' on any narrower mode: a
#       policy narrower than ALL has to carry the evidence that the narrowing
#       is safe.
#
# ---------------------------------------------------------------------------
# THE DECISION ON STATING `FOR ALL` EXPLICITLY (#470 item 3)
# ---------------------------------------------------------------------------
#
# The issue asks whether `FOR ALL` should be written out everywhere so a
# reviewer sees the clause instead of inferring the default. Recorded answer:
#
#   * NEW migrations state the mode explicitly, always. m118 already does, and
#     that is the standard from here.
#
#   * Existing policies are NOT rewritten just to add the word. An applied
#     migration is immutable, so "everywhere" would mean a new migration that
#     DROPs and reCREATEs most of the cross-tenant policies in this file for a
#     purely cosmetic change -- a large, irreversible, self-inflicted diff over
#     the tenant boundary, taking real locks at boot inside main(), to make a
#     default visible.
#
#   * This file is what makes the mode visible instead, and unlike a clause in
#     a migration it is CHECKED against the live database on every run. A
#     migration's text is history; this is the current state, reconciled.
#
# Reviewed by security-reviewer as part of #470.
#
# ---------------------------------------------------------------------------
# ADDING A ROW
# ---------------------------------------------------------------------------
#
# When the guard reports a policy that is in no ledger row, do not just paste
# the line it prints. Answer the question first: does anything running under
# that GUC write to that table, or take a row lock on it? Then record the
# answer. The value of this file is that somebody had to look.
#
# columns: table|policy|guc|cmd|ops|rationale
agent_activity_log|agent_activity_log_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
agent_diagnostics|agent_diagnostics_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
agent_login_events|agent_login_events_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
agent_nonces|agent_nonces_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
agent_php_errors|agent_php_errors_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
alert_configs|alert_configs_evaluator|app.agent|SELECT|select|uptime/repo.go:652 ListAlertConfigsAllTenants reads every tenant's config for the evaluator; UpsertAlertConfig writes under InTenantTx (repo.go:690)
api_keys|api_keys_prefix_lookup|app.apikey_lookup|SELECT|select|apikey/apikey.go:366 resolves a key by its unique prefix before the tenant is known; the last_used_at stamp is tenant-keyed (db/query/api_keys.sql:52) and runs under InTenantTx
audit_log|audit_log_agent|app.agent|SELECT|select|admin billing panel reads only; the sole INSERT path is audit.go:479 via appendLocked, whose tx is InTenantTx (audit.go:507). UPDATE/DELETE are REVOKEd from wpmgr_app (m1) and the m35 purge runs SECURITY DEFINER under tenant scope
autologin_policies|autologin_policies_agent|app.agent|SELECT|select|autologin/repo.go:155 GetPolicyForAgent reads; both writers run under InTenantTx (repo.go:87, :103)
autologin_tokens|autologin_tokens_agent_consume|app.agent|UPDATE|update|autologin/repo.go:127 ConsumeToken issues the consuming UPDATE under InAgentTx; this policy is FOR UPDATE precisely so that write is not silently zero-rowed
autologin_tokens|autologin_tokens_agent|app.agent|SELECT|select|agent-side token read; the consume UPDATE has its own FOR UPDATE policy below
backup_chunks|backup_chunks_agent|app.agent|SELECT|select|tenant_reclaim_worker.go:794 ChunkRowsExist and billing_repo.go:138 read; every chunk write (repo.go:1029, :1763, :1787 and the sqlc upsert/refcount/delete set) runs under InTenantTx or inTenantTxOnConn, and the only FOR UPDATE (repo.go:1643) is tenant-scoped
backup_file_index|backup_file_index_agent|app.agent|SELECT|select|no InAgentTx closure references this table at all; both INSERTs (repo.go:1811, :2215) run under InTenantTx
backup_schedule_runs|backup_schedule_runs_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
backup_schedules|backup_schedules_scheduler|app.agent|ALL|select,update,lock|THIS IS THE m84/#96 FIX. The scheduler enumerates due schedules, claims them with FOR UPDATE and advances next_run_at, all inside InAgentTx. It shipped as FOR SELECT and every backup schedule stopped advancing, silently, because PostgreSQL applies the UPDATE policy to the locking read as well. Note the name: a grep for the '_agent' convention does not find this policy at all
backup_snapshots|backup_snapshots_gc|app.agent|SELECT|select|the retention GC enumerates prunable snapshots cross-tenant (repo.go:752, :2862; main.go:1719) and then prunes per tenant under InTenantTx; no locking read runs under app.agent
billing_events|billing_events_system|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
cache_purge_audit|cache_purge_audit_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
client_members|client_members_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
client_members|client_members_self_read|app.user_id|SELECT|select|a user reading the client rows they are a member of
clients|clients_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
clients|clients_member_read|app.user_id|SELECT|select|a user reading the clients they are a member of
email_alert_state|email_alert_state_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
email_log|email_log_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
email_notify_settings|email_notify_settings_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
email_suppression|email_suppression_agent|app.agent|ALL|-|FOR ALL admits every verb, so the FOR SELECT silence cannot arise here; the path was not individually audited
